,May,June ,July,August,September
Total civilian population,33294,5883,33353,33386,33420
Total Employed,16530,17019,17283,17551,17609
Total teleworking because of coronavirus pandemic,4844,4379,3921,3673,3456
Percent of total employed bc of coronavirus pandemic,29.3,25.7,22.7,20.9,19.6
Total Employed Percent Distribution,12,11.9,12,11.9,11.9
Teleworking Percent Distribution,9.9,9.8,10.3,10.3,10.3
"Unable to work, total",7116,5883,5188,4177,3341
"Unable to work, percent of total",21.4,17.7,15.6,12.5,10
Received pay from employer for hours not worked,1222,1083,772,555,396
Did not receive pay from employer for hours not worked,5894,4799,4415,3622,2945
"Received pay, percent",17.2,18.4,14.9,13.3,11.8
"Did not receive pay, percent",82.8,81.6,85.1,86.7,88.2
Total not in labor force,13479,13189,13031,13187,13513
"Did not look for work in the last 4 weeks because of the pandemic, total",2035,1508,1322,1140,997
"Did not look for work in the last 4 weeks because of the pandemic, percent",15.1,11.4,10.1,8.6,7.4
"Other not in labor force, total",11445,11681,11709,12047,12516
"Other not in labor force, percent",84.9,88.6,89.9,91.4,92.6
