,May,June ,July,August,September
Total civilian population,201154,201233,201319,201417,201515
Total Employed,107761,112020,112913,115205,115603
Total teleworking because of coronavirus pandemic,38029,34489,29028,26957,25267
Percent of total employed bc of coronavirus pandemic,35.3,30.8,25.7,23.4,21.9
Total Employed Percent Distribution,78.4,78.4,78.1,78.3,78.2
Teleworking Percent Distribution,78.1,77.3,76,75.3,75.2
"Unable to work, total",37371,30003,22356,17203,13752
"Unable to work, percent of total",18.6,14.9,11.1,8.5,6.8
Received pay from employer for hours not worked,6818,4618,2735,1923,1417
Did not receive pay from employer for hours not worked,30553,25385,19621,15280,12336
"Received pay, percent",18.2,15.4,12.2,11.2,10.3
"Did not receive pay, percent",81.8,84.6,87.8,88.8,89.7
Total not in labor force,78602,76488,76655,76927,77420
"Did not look for work in the last 4 weeks because of the pandemic, total",6308,4709,4416,3456,2963
"Did not look for work in the last 4 weeks because of the pandemic, percent",8,6.2,5.8,4.5,3.8
"Other not in labor force, total",72294,71779,72239,73470,74456
"Other not in labor force, percent",92,93.8,94.2,95.5,96.2
